symbol,date,open,high,low,close,volume,adj_close
ACU,2016-04-25,17.35,17.82,16.719999,16.950001,2800,16.950001
ACU,2016-04-22,16.60,17.50,16.60,17.50,12700,17.50
FCO,2016-04-25,8.57,8.62,8.55,8.57,9500,8.57
FCO,2016-04-22,8.51,8.66,8.50,8.59,19100,8.59
AIII,2016-04-25,1.39,1.50,1.39,1.50,5900,1.50
AIII,2016-04-22,1.57,1.60,1.54,1.54,900,1.54
ATNM,2016-04-25,2.05,2.06,2.00,2.01,652500,2.01
ATNM,2016-04-22,2.03,2.11,2.02,2.04,523800,2.04
IAF,2016-04-25,5.71,5.78,5.71,5.75,25200,5.75
IAF,2016-04-22,5.74,5.80,5.72,5.75,40200,5.75
AE,2016-04-25,38.369999,40.00,37.200001,37.200001,2400,37.200001
AE,2016-04-22,37.00,38.689999,37.00,38.049999,1200,38.049999
CH,2016-04-25,6.34,6.34,6.19,6.24,119500,6.24
CH,2016-04-22,6.27,6.32,6.21,6.31,45800,6.31
XXII,2016-04-25,0.852,0.869,0.80,0.84,536900,0.84
XXII,2016-04-22,0.86,0.87,0.834,0.85,184200,0.85
ADK,2016-04-25,2.24,2.26,2.12,2.12,44000,2.12
ADK,2016-04-22,2.35,2.43,2.22,2.24,44500,2.24
FAX,2016-04-25,5.01,5.04,5.01,5.03,568200,5.03
FAX,2016-04-22,5.05,5.06,5.02,5.03,614300,5.03
ACY,2016-04-25,10.85,10.85,10.85,10.85,500,10.85
ACY,2016-04-22,10.97,10.97,10.97,10.97,500,10.97
WGA,2016-04-25,0.36,0.39,0.34,0.37,1300,0.37
WGA,2016-04-22,0.36,0.41,0.35,0.37,26000,0.37
AIRI,2016-04-25,6.09,6.09,5.85,5.99,2300,5.99
AIRI,2016-04-22,6.08,6.08,6.08,6.08,000,6.08
AAU,2016-04-25,1.12,1.17,1.10,1.10,388900,1.10
AAU,2016-04-22,1.20,1.20,1.11,1.15,347900,1.15
AAMC,2016-04-25,16.49,16.540001,15.06,15.53,23500,15.53
AAMC,2016-04-22,16.59,17.120001,15.79,16.01,17300,16.01
AXU,2016-04-25,1.10,1.18,1.10,1.10,475600,1.10
AXU,2016-04-22,1.17,1.20,1.11,1.11,926900,1.11
AFCO,2016-04-25,7.00,7.35,6.85,6.95,149700,6.95
AFCO,2016-04-22,6.52,7.152,6.52,6.97,147400,6.97
ISL,2016-04-25,17.459999,17.459999,17.34,17.35,400,17.35
ISL,2016-04-22,17.459999,17.459999,17.459999,17.459999,000,17.459999
APT,2016-04-25,1.87,1.94,1.87,1.94,27700,1.94
APT,2016-04-22,1.90,1.94,1.87,1.87,40300,1.87
DIT,2016-04-25,84.00,84.449997,84.00,84.449997,2500,84.449997
DIT,2016-04-22,82.300003,84.300003,82.300003,84.300003,1100,84.300003
ADGE,2016-04-25,0.28,0.29,0.28,0.28,2400,0.28
ADGE,2016-04-22,0.28,0.30,0.26,0.27,16900,0.27
IF,2016-04-25,6.32,6.32,5.99,6.29,15200,6.29
IF,2016-04-22,6.39,6.39,6.35,6.37,8500,6.37
ALN,2016-04-25,1.15,1.17,1.10,1.17,4900,1.17
ALN,2016-04-22,1.19,1.19,1.10,1.18,12900,1.18
AMPE,2016-04-25,4.11,4.11,3.85,3.97,305400,3.97
AMPE,2016-04-22,4.03,4.12,3.90,4.06,175900,4.06
AMS,2016-04-25,2.20,2.20,2.20,2.20,500,2.20
AMS,2016-04-22,2.18,2.30,2.14,2.28,3100,2.28
AXN,2016-04-25,0.75,0.75,0.71,0.73,38500,0.73
AXN,2016-04-22,0.70,0.75,0.70,0.75,32400,0.75
AMCO,2016-04-25,0.27,0.28,0.22,0.25,235000,0.25
AMCO,2016-04-22,0.28,0.28,0.25,0.25,62100,0.25
HRT,2016-04-25,4.02,4.10,4.02,4.10,300,4.10
HRT,2016-04-22,4.10,4.10,4.10,4.10,000,4.10
AKG,2016-04-25,2.66,2.70,2.55,2.57,215400,2.57
AKG,2016-04-22,2.75,2.75,2.59,2.64,293500,2.64
AINC,2016-04-25,45.77,45.799999,45.400002,45.50,7400,45.50
AINC,2016-04-22,45.587002,45.810001,45.587002,45.810001,900,45.810001
AWX,2016-04-25,1.96,1.96,1.96,1.96,400,1.96
AWX,2016-04-22,1.95,1.96,1.95,1.95,4800,1.95
AST,2016-04-25,4.39,4.48,4.23,4.34,74600,4.34
